Palette,Main weapon,Sub weapon,Special Weapon,Common Tones,Common Tones
Palette,Main weapon,Sub weapon,Special Weapon,First,Second
Pearl,Order Dualies,Curling Bomb,Reefslider,Lucky,Support
Marina,Order Brella,Sprinkler,Ink Storm,Drone,Power
Agent 4,Order Shot,Splat Bomb,Trizooka,Range,Mobility
Callie,Order Roller,Burst Bomb,Kraken Royale,Power,Lucky
Marie,Order Charger,Ink Mine,Triple Inkstrike,Support,Range
Shiver,Order Stringer,Toxic Mist,Killer Wail 5.1,Mobility,Range
Frye,Order Splatana,Fizzy Bomb,Crab Tank,Lucky,Drone
Big Man,Order Slosher,Suction Bomb,Triple Inkstrike,Support,Drone
Murch,Order Blaster,Curling Bomb,Wave Breaker,Range,Power
Sheldon,Orderbrush,Ink Mine,Ultra Stamp,Mobility,Lucky
DJ Octavio,Order Splatling,Splash Wall,Booyah Bomb,Drone,Support
Eight,Octoshot,Splat Bomb,Triple Splashdown,Power,Mobility
